ds,y_XGBoost,y_XGBoost_lag15
2023-10-03 06:15:00,24931.229,22883.334
2023-10-03 06:30:00,26493.732,26578.025
2023-10-03 06:45:00,27044.436,31995.45
2023-10-03 07:00:00,40963.414,39578.36
2023-10-03 07:15:00,42568.93,46382.508
2023-10-03 07:30:00,46154.91,53755.47
2023-10-03 07:45:00,46705.617,61471.227
2023-10-03 08:00:00,54851.37,64537.7
2023-10-03 08:15:00,56456.895,63261.887
2023-10-03 08:30:00,59433.723,63826.285
2023-10-03 08:45:00,59984.43,64586.754
2023-10-03 09:00:00,65647.32,68029.74
2023-10-03 09:15:00,66954.01,68562.95
2023-10-03 09:30:00,68736.3,70305.195
2023-10-03 09:45:00,69287.05,70305.195
2023-10-03 10:00:00,70011.03,70305.195
2023-10-03 10:15:00,70801.43,72043.0
2023-10-03 10:30:00,71864.65,70305.195
2023-10-03 10:45:00,72255.04,70305.195
2023-10-03 11:00:00,72012.125,68588.95
2023-10-03 11:15:00,72802.52,70331.195
2023-10-03 11:30:00,73865.74,73331.65
2023-10-03 11:45:00,74197.8,70331.195
2023-10-03 12:00:00,74699.48,70348.74
2023-10-03 12:15:00,75489.875,73349.195
2023-10-03 12:30:00,76553.09,74102.89
2023-10-03 12:45:00,76885.15,74666.94
2023-10-03 13:00:00,78343.08,74666.94
2023-10-03 13:15:00,79133.48,77546.47
2023-10-03 13:30:00,80196.695,80932.695
2023-10-03 13:45:00,80528.75,83627.14
2023-10-03 14:00:00,81993.18,84236.734
2023-10-03 14:15:00,82783.58,86084.016
2023-10-03 14:30:00,83846.8,88661.836
2023-10-03 14:45:00,84178.85,89459.945
2023-10-03 15:00:00,81126.46,89419.766
2023-10-03 15:15:00,81889.58,86838.266
2023-10-03 15:30:00,82952.8,84919.15
2023-10-03 15:45:00,83284.85,84278.83
2023-10-03 16:00:00,82210.734,83601.94
2023-10-03 16:15:00,82584.7,83601.94
2023-10-03 16:30:00,83466.15,84278.83
2023-10-03 16:45:00,83798.2,83601.94
2023-10-03 17:00:00,83007.08,84919.15
2023-10-03 17:15:00,83243.76,85422.52
2023-10-03 17:30:00,84057.516,86962.56
2023-10-03 17:45:00,84389.57,86974.26
2023-10-03 18:00:00,83128.35,87063.72
2023-10-03 18:15:00,83143.6,86780.23
2023-10-03 18:30:00,83918.5,87885.53
2023-10-03 18:45:00,84250.555,87063.72
2023-10-03 19:00:00,83212.11,87063.72
2023-10-03 19:15:00,83227.36,87063.72
