ds,yhat,yhat_lower,yhat_upper
2023-09-02 11:00:00,72823.18916006366,63937.335562332795,81825.2706343246
2023-09-02 11:15:00,73560.44276898775,64273.427204623615,82227.55795162589
2023-09-02 11:30:00,74244.72867011424,64896.22408696835,83327.2573970089
2023-09-02 11:45:00,74911.86966379039,65488.80545380038,83296.39690639291
2023-09-02 12:00:00,75593.12586931454,66464.19631025805,84361.9213620584
2023-09-02 12:15:00,76313.54892634823,67101.94903299442,84476.55057673095
2023-09-02 12:30:00,77090.73147563683,68384.36474217984,85750.75525408909
2023-09-02 12:45:00,77934.02239899669,69299.60771056007,86707.23070629995
2023-09-02 13:00:00,78844.25131650692,70441.60151779183,87995.91452350847
2023-09-02 13:15:00,79813.9759130016,70411.52093352222,87962.32480073311
2023-09-02 13:30:00,80828.23463375162,71982.23365429146,89877.01000465972
2023-09-02 13:45:00,81865.75702302712,72435.10645076858,90900.94950826307
2023-09-02 14:00:00,82900.55641556288,74055.18605254333,92001.17312077279
2023-09-02 14:15:00,83903.80645998099,75821.46397964924,93059.24341554429
2023-09-02 14:30:00,84845.88561400046,75753.68737503591,93497.51573987183
2023-09-02 14:45:00,85698.4633392347,77127.9276038801,94774.14989028069
2023-09-02 15:00:00,86436.49896033396,77652.35912529333,95373.22396225008
2023-09-02 15:15:00,87040.02920345888,77168.76116468919,96072.43935905238
2023-09-02 15:30:00,87495.63306464459,78993.3799516297,96531.13748267083
2023-09-02 15:45:00,87797.48205608437,78773.3483099053,96962.56286236613
2023-09-02 16:00:00,87947.90890552917,78541.59941652285,96878.429900339
2023-09-02 16:15:00,87957.45689502804,78669.31524479609,97352.9186563608
2023-09-02 16:30:00,87844.40341724963,78739.0464775368,97238.21220953316
2023-09-02 16:45:00,87633.783097577,79569.34914459454,96562.29760264247
2023-09-02 17:00:00,87355.96601648186,77814.48529779601,95805.74739657916
2023-09-02 17:15:00,87044.87333034308,78459.76156914906,95803.87447427787
2023-09-02 17:30:00,86735.934319993,78285.01607226007,95539.25835695605
2023-09-02 17:45:00,86463.90427355815,78281.88273896041,95112.64053497097
2023-09-02 18:00:00,86260.67076176358,77350.66092163636,95048.60038965344
2023-09-02 18:15:00,86153.17633184818,77448.4155771432,95135.01429562893
2023-09-02 18:30:00,86161.5784786864,76919.73605778438,94812.83874495342
2023-09-02 18:45:00,86297.7534598588,77527.22517115239,95265.66821350591
2023-09-02 19:00:00,86564.23005672252,77348.28216388698,95025.53877977228
2023-09-02 19:15:00,86953.61407816189,77795.83124759646,95684.56314972563
2023-09-02 19:30:00,87448.5358483953,78568.98864515392,96131.36815790307
2023-09-02 19:45:00,88022.1229173408,79097.04142542637,97571.39295865777
2023-09-02 20:00:00,88638.9706206415,79614.46807900726,98061.40626031399
2023-09-02 20:15:00,89256.55569195228,80099.32433993742,97600.18636599877
2023-09-02 20:30:00,89827.01450347464,80107.9028821806,98087.8299769026
2023-09-02 20:45:00,90299.1890514214,81392.82993298848,99477.93887807187
2023-09-02 21:00:00,90620.8314847813,82763.55495352192,100244.07184116238
2023-09-02 21:15:00,90740.85239229913,82318.37934610275,99817.65460944538
2023-09-02 21:30:00,90611.49937849845,81542.96339173515,99483.27402223714
2023-09-02 21:45:00,90190.36033387392,81051.39537381513,98905.84285831133
2023-09-02 22:00:00,89442.09958131623,81004.79786427718,98309.10570889618
2023-09-02 22:15:00,88339.85365666996,79669.56862372454,97168.45093064963
2023-09-02 22:30:00,86866.23552989405,78110.73515276746,95593.00579307976
2023-09-02 22:45:00,85013.92007905833,76215.8511447737,93979.62006323558
2023-09-02 23:00:00,82785.80795485567,73729.89711982918,92007.64998712935
2023-09-02 23:15:00,80194.78809058241,71174.962411461,88132.46850396816
2023-09-02 23:30:00,77263.13961525122,68617.09937857285,86181.71658004067
